"DOI","Name","usage_count","first_acronym","AlternateNameList","WebsiteList","status","original_DOI_combined"
"10.1037/t00741-000","beck depression inventory","25118","BDI","","https://www.pearsonassessments.com/","not in corpus","NA"
"10.1037/t00742-000","beck depression inventory-ii","14268","BDI-II","","https://www.pearsonassessments.com/professional-assessments.html","not in corpus","NA"
"10.1037/t05056-000","positive and negative syndrome scale","13316","PANSS","","http://www.mhs.com/panss","not in corpus","NA"
"10.1037/t03589-000","hospital anxiety and depression scale","12134","HADS","","","not in corpus","NA"
"10.1037/t06165-000","patient health questionnaire-9","9492","PHQ-9","","http://phqscreeners.com","in corpus, no scaled items","NA"
"10.1037/t01554-000","brief psychiatric rating scale","7504","BPRS","","","not in corpus","NA"
"10.1037/t04111-000","montgomery-asberg depression rating scale","7238","MADRS","Montgomery and Ashberg Depression Rating Scale","","not in corpus","NA"
"10.1037/t01210-000","symptom checklist-90-revised","7095","SCL-90-R","","https://www.pearsonassessments.com/store/usassessments/en/Store/Professional-Assessments/Personality-%26-Biopsychosocial/Symptom-Checklist-90-Revised/p/100000645.html?tab=product-details","not in corpus","10.1037/t09699-000"
"10.1037/t02889-000","perceived stress scale","6494","NA","","","not in corpus","NA"
"10.1037/t05178-000","pittsburgh sleep quality index","6408","PSQI","","http://www.sleep.pitt.edu/research/instruments.html","not in corpus","NA"
"10.1037/t00540-000","strengths and difficulties questionnaire","6257","SDQ","","http://www.sdqinfo.org","not in corpus","NA"
"10.1037/t02121-000","composite international diagnostic interview","4888","WHO WMH-CIDI","World Mental Health Composite International Diagnostic Interview | CIDI 3.0 | Composite International Diagnostic Interview: Computer Assisted Personal Interview (CAPI V21.1.4)","https://www.hcp.med.harvard.edu/wmhcidi/download-the-who-wmh-cidi-instruments/","not in corpus","NA"
"10.1037/t57982-000","yale-brown obsessive compulsive scale","4410","YBOCS","","","not in corpus","NA"
"10.1037/t18128-000","autism diagnostic interview-revised","4096","ADI-R","","https://www.wpspublish.com/adi-r-autism-diagnostic-interviewrevised","not in corpus","10.1037/t49977-000"
"10.1037/t07081-000","epworth sleepiness scale","4041","ESS","","http://epworthsleepinessscale.com/","not in corpus","NA"
"10.1037/t01756-000","edinburgh postnatal depression scale","3750","EPDS","","","not in corpus","NA"
"10.1037/t02080-000","childhood trauma questionnaire","3500","CTQ","","","not in corpus","NA"
"10.1037/t00072-000","clinician-administered ptsd scale","3487","NA","","","not in corpus","NA"
"10.1037/t00025-000","addiction severity index","3134","ASI","","","not in corpus","NA"
"10.1037/t07023-000","36-item short form health survey","3067","SF-36","","http://www.rand.org/index.html","not in corpus","10.1037/t06708-000"
"10.1037/t02366-000","barthel index","2584","NA","","","not in corpus","NA"
"10.1037/t48377-000","scale for the assessment of positive symptoms","2352","SAPS","L'echelle d'evaluation des symptômes positifs","","not in corpus","NA"
"10.1037/t07021-000","12-item short form health survey","2304","SF-12","","http://www.rand.org/index.html","not in corpus","10.1037/t06708-000"
"10.1037/t01093-000","interpersonal reactivity index","2200","IRI","Interpersonal Reactivity Questionnaire","","not in corpus","NA"
"10.1037/t01760-000","penn state worry questionnaire","2149","PSWQ","","","not in corpus","NA"
"10.1037/t03974-000","eating disorder examination questionnaire","2132","EDE-Q","","","not in corpus","10.1037/t03975-000"
"10.1037/t27207-000","wechsler memory scale","2130","WMS","","","not in corpus","NA"
"10.1037/t15120-000","minnesota multiphasic personality inventory-2","2121","MMPI-2","","http://pearsonassessments.com/HAIWEB/Cultures/en-us/Productdetail.htm?Pid=MMPI-2&Mode=summary","not in corpus","NA"
"10.1037/t31330-000","international physical activity questionnaire","2074","IPAQ","International Physical Activity Questionnaire--Long
                Version | International Physical Activity Questionnaire--Short
                Version | Long IPAQ | Short IPAQ","https://sites.google.com/site/theipaq/","not in corpus","NA"
"10.1037/t02175-000","dyadic adjustment scale","2065","DAS","","http://www.mhs.com/product.aspx?gr=cli&prod=das&id=overview","not in corpus","NA"
"10.1037/t02125-000","conflict tactics scales","1937","CTS","Conflict Tactics Scale--Form A | Conflict Tactics Scale--Form N","","not in corpus","NA"
"10.1037/t01029-000","difficulties in emotion regulation scale","1932","DERS","","","not in corpus","NA"
"10.1037/t35126-000","national institutes of health stroke scale","1868","NIHSS","NIH Stroke Scale","https://www.sralab.org/rehabilitation-measures/national-institutes-health-stroke-scale","not in corpus","NA"
"10.1037/t00303-000","impact of event scale","1748","IES","Impact of Events Scale","","not in corpus","NA"
"10.1037/t06803-000","instrumental activities of daily living scale","1688","IADL","Lawton Instrumental Activities of Daily Living Scale","","not in corpus","NA"
"10.1037/t06463-000","emotion regulation questionnaire","1569","ERQ","","https://spl.stanford.edu/resources","not in corpus","NA"
"10.1037/t10642-000","toronto alexithymia scale","1562","TAS","Toronto Alexithymia Scale-26","","not in corpus","NA"
"10.1037/t05974-000","ucla loneliness scale","1519","NA","","","not in corpus","NA"
"10.1037/t03902-000","temperament and character inventory","1470","TCI","","","not in corpus","NA"
"10.1037/t03988-000","schedule for affective disorders and schizophrenia for school-age children-present and lifetime version","1429","K-SADS-PL","","","not in corpus","NA"
"10.1037/t02622-000","ptsd checklist-civilian version","1402","PCL-C","","http://www.ptsd.va.gov/professional/pages/assessments/ptsd-checklist.asp","not in corpus","NA"
"10.1037/t02711-000","eysenck personality inventory","1399","EPQ","Eysenck Personality Questionnaire","","not in corpus","NA"
"10.1037/t17260-000","social responsiveness scale","1395","NA","","http://www.wpspublish.com/store/p/2993/social-responsiveness-scale-srs-by-john-n-constantino-md","not in corpus","NA"
"10.1037/t07564-000","neo personality inventory","1380","NEO-PI","","","not in corpus","NA"
"10.1037/t07472-000","dissociative experiences scale","1300","DES","","","not in corpus","NA"
"10.1037/t03903-000","personality assessment inventory","1296","NA","","","not in corpus","NA"
"10.1037/t04131-000","alzheimer's disease assessment scale","1255","ADAS","","","not in corpus","NA"
"10.1037/t48466-000","global deterioration scale","1253","NA","","","not in corpus","NA"
"10.1037/t02879-000","adult attachment interview","1247","AAI","","","not in corpus","NA"
"10.1037/t05050-000","multidimensional anxiety scale for children","1224","MASC™","","http://www.mhs.com/masc","not in corpus","NA"
"10.1037/t03776-000","posttraumatic growth inventory","1184","PTGI","","","not in corpus","NA"
"10.1037/t01522-000","cage questionnaire","1173","NA","","","not in corpus","NA"
"10.1037/t02445-000","parenting stress index","1172","NA","","https://www.parinc.com/products/pkey/333","not in corpus","NA"
"10.1037/t52667-000","columbia-suicide severity rating scale","1135","C-SSRS","Columbia-Suicide Severity Rating Scale--Screen Version","http://www.cssrs.columbia.edu/","not in corpus","NA"
"10.1037/t49277-000","wide range achievement test","1071","NA","","http://www.pearsonclinical.com","not in corpus","NA"
"10.1037/t49458-000","childhood autism rating scale","1043","CARS","Childhood Psychosis Rating Scale","","not in corpus","NA"
"10.1037/t07870-000","schedule for affective disorders and schizophrenia","988","SADS","Schedule for Affective Disorders and Schizophrenia--Lifetime version | Schedule for Affective Disorders and Schizophrenia--Change version","","not in corpus","NA"
"10.1037/t03938-000","south oaks gambling screen","959","SOGS","","","not in corpus","NA"
"10.1037/t78752-000","diagnostic interview schedule for children","950","DISC","","","not in corpus","NA"
"10.1037/t06346-000","connor-davidson resilience scale","935","NA","","","not in corpus","NA"
"10.1037/t06510-000","parental bonding instrument","935","PBI","Parker Parental Bonding Questionnaire","","not in corpus","NA"
"10.1037/t48859-000","wechsler preschool and primary scale of intelligence--revised","933","WPPSI-R","","","not in corpus","NA"
"10.1037/t02178-000","three factor eating questionnaire","919","NA","","","not in corpus","NA"
"10.1037/t03624-000","multifactor leadership questionnaire","915","MLQ","Multifactor Leadership Questionnaire","http://www.mindgarden.com/products/mlq.htm","not in corpus","NA"
"10.1037/t15164-000","vineland adaptive behavior scales, second edition","911","Vineland-II","","http://pearsonassessments.com/HAIWEB/Cultures/en-us/Productdetail.htm?Pid=Vineland-II&Mode=summary","not in corpus","NA"
"10.1037/t02254-000","morningness-eveningness questionnaire","908","NA","","","not in corpus","NA"
"10.1037/t03975-000","eating disorder examination","908","EDE","","","not in corpus","NA"
"10.1037/t07502-000","brief symptom inventory-18","891","BSI-18","","","not in corpus","10.1037/t00789-000"
"10.1037/t73087-000","behavior rating inventory of executive function","886","BRIEF","Behavior Rating Inventory of Executive Function®","https://www.parinc.com/Products/Pkey/23","not in corpus","NA"
"10.1037/t66667-000","international affective picture system","862","IAPS","","https://csea.phhp.ufl.edu/media/iapsmessage.html","not in corpus","NA"
"10.1037/t28729-000","berg balance scale","856","BBS","","","not in corpus","NA"
"10.1037/t04145-000","short portable mental status questionnaire","848","SPMSQ","","","not in corpus","NA"
"10.1037/t15771-000","ecological momentary assessment","844","EMA","","","not in corpus","NA"
"10.1037/t49618-000","barnes akathisia rating scale","840","NA","","","not in corpus","NA"
"10.1037/t07845-000","eyberg child behavior inventory","819","NA","","http://www4.parinc.com/Products/Product.aspx?ProductID=ECBI","not in corpus","NA"
"10.1037/t64702-000","patient health questionnaire-8","816","PHQ-8","","","not in corpus","10.1037/t06165-000"
"10.1037/t42601-000","children's yale-brown obsessive-compulsive scale","796","CY-BOCS","","","not in corpus","10.1037/t57982-000"
"10.1037/t77117-000","work and social adjustment scale","796","WSAS","","","not in corpus","NA"
"10.1037/t02357-000","michigan alcoholism screening test","783","MAST","","","not in corpus","NA"
"10.1037/t01318-000","twenty-item toronto alexithymia scale","764","TAS-20","","","not in corpus","NA"
"10.1037/t51564-000","posttraumatic stress disorder checklist for dsm-5","755","PCL-5","","http://www.ptsd.va.gov/professional/assessment/adult-sr/ptsd-checklist.asp","not in corpus","NA"
"10.1037/t02485-000","posttraumatic diagnostic scale","732","PTDS","","","not in corpus","NA"
"10.1037/t06040-000","body shape questionnaire","730","BSQ","","","not in corpus","NA"
"10.1037/t04510-000","inventory of parent and peer attachment","727","IPPA","","","not in corpus","NA"
"10.1037/t06571-000","zarit burden interview","725","BI","The Burden Interview","","not in corpus","NA"
"10.1037/t02278-000","inventory of interpersonal problems","724","NA","","","not in corpus","NA"
"10.1037/t71125-000","alcohol use disorders identification test consumption","722","AUDIT-C","","","not in corpus","10.1037/t01528-000"
