"DOI","Name","usage_count","status"
"10.1037/t00741-000","beck depression inventory","25118","not in corpus"
"10.1037/t00742-000","beck depression inventory-ii","14268","not in corpus"
"10.1037/t05056-000","positive and negative syndrome scale","13316","not in corpus"
"10.1037/t03589-000","hospital anxiety and depression scale","12134","not in corpus"
"10.1037/t06165-000","patient health questionnaire-9","9492","in corpus, no scaled items"
"10.1037/t01528-000","alcohol use disorders identification test","8513","not in corpus"
"10.1037/t01554-000","brief psychiatric rating scale","7504","not in corpus"
"10.1037/t04111-000","montgomery-asberg depression rating scale","7238","not in corpus"
"10.1037/t01210-000","symptom checklist-90-revised","7095","not in corpus"
"10.1037/t02889-000","perceived stress scale","6494","not in corpus"
"10.1037/t05178-000","pittsburgh sleep quality index","6408","not in corpus"
"10.1037/t00540-000","strengths and difficulties questionnaire","6257","not in corpus"
"10.1037/t02121-000","composite international diagnostic interview","4888","not in corpus"
"10.1037/t57982-000","yale-brown obsessive compulsive scale","4410","not in corpus"
"10.1037/t18128-000","autism diagnostic interview-revised","4096","not in corpus"
"10.1037/t07081-000","epworth sleepiness scale","4041","not in corpus"
"10.1037/t54175-000","autism diagnostic observation schedule","3790","not in corpus"
"10.1037/t01756-000","edinburgh postnatal depression scale","3750","not in corpus"
"10.1037/t05449-000","stroop test","3675","not in corpus"
"10.1037/t06065-000","stroop color and word test","3637","not in corpus"
"10.1037/t02080-000","childhood trauma questionnaire","3500","not in corpus"
"10.1037/t00072-000","clinician-administered ptsd scale","3487","not in corpus"
"10.1037/t00025-000","addiction severity index","3134","not in corpus"
"10.1037/t07023-000","36-item short form health survey","3067","not in corpus"
"10.1037/t10132-000","controlled oral word association test","3053","not in corpus"
"10.1037/t48844-000","california verbal learning test","2847","not in corpus"
"10.1037/t03782-000","implicit association test","2700","not in corpus"
"10.1037/t02366-000","barthel index","2584","not in corpus"
"10.1037/t48377-000","scale for the assessment of positive symptoms","2352","not in corpus"
"10.1037/t07021-000","12-item short form health survey","2304","not in corpus"
"10.1037/t49755-000","wechsler adult intelligence scale--third edition","2254","not in corpus"
"10.1037/t01093-000","interpersonal reactivity index","2200","not in corpus"
"10.1037/t01760-000","penn state worry questionnaire","2149","not in corpus"
"10.1037/t03974-000","eating disorder examination questionnaire","2132","not in corpus"
"10.1037/t27207-000","wechsler memory scale","2130","not in corpus"
